time,collections,amount,increase
May 5th 2022 9:00,DBLP_zijide,276390,0
May 5th 2022 11:00,DBLP_zijide,276811,421
May 25th 2022 16:50,DBLP_zijide,292159,15348
May 25th 2022 17:25,DBLP_zijide,292528,369
May 28th 2022 10:00,DBLP_zijide,292650,122
June 9th 2022 11:00,DBLP_zijide,292922,272
June 16th 2022 10:00,DBLP_zijide,293240,318
June 23th 2022 14:00,DBLP_zijide,293250,10
June 30th 2022 09:40,DBLP_zijide,293527,277
July 7th 2022 09:30,DBLP_zijide,293833,306
July 28th 2022 09:00,DBLP_zijide,294478,645
August 4th 2022 15:00,DBLP_zijide,294598,120